 76 os184         6.8376541924E-13
 76 os186         5.4904331891E-11
 76 os187         5.2715738171E-11
 76 os188         4.6159094891E-10
 76 os189         5.5791377819E-10
 76 os190         9.0962015531E-10
 76 os192         1.4236903964E-09
 77 ir191         1.2622495409E-09
 77 ir193         2.1167781362E-09
 78 pt190         7.5659500528E-13
 78 pt192         5.0514324980E-11
 78 pt194         2.1277452918E-09
 78 pt195         2.1885559351E-09
 78 pt196         1.6307217685E-09
 78 pt198         4.8617902767E-10
 79 au197         1.3019490334E-09
 80 hg196         2.9674391444E-12
 80 hg198         2.0267200275E-10
 80 hg199         3.3805340199E-10
 80 hg200         4.6898902017E-10
 80 hg201         2.7122726823E-10
 80 hg202         6.1022460140E-10
 80 hg204         1.4118065738E-10
 81 tl203         4.0517097998E-10
 81 tl205         9.8152450403E-10
 82 pb204         2.0882103337E-10
 82 pb206         3.6645010325E-09
 82 pb207         3.3583135171E-09
 82 pb208         7.9107206195E-09
 83 bi209         6.6116068001E-10
 90 th232         2.5454272040E-10
 92 u 235         3.7269237208E-11
 92 u 238         1.1664633235E-10
